Gene_Name,F-Statistic,p-value (ANOVA),Chi-Square Statistic,p-value (Chi-Squared Test),Correlation Coefficient,p-value (Pearson Correlation)
UNC119,16.1919793229285,9.037512407275356e-18,1.5858105556703865,0.9911895261316652,0.354677850540356,8.383668756846906e-07
CLTCL1,16.144023670673583,1.0038708067233001e-17,1.583114805103484,0.9912401077726102,0.3045185960239257,2.7748153962835437e-05
CD93,16.133990897975835,1.0261960275035568e-17,1.5825499655047408,0.9912506820574364,0.46242015059999286,4.3979992306933575e-11
MVP,16.102885366496448,1.0986545700251297e-17,1.5807968379287882,0.9912834490625273,0.27884612552023685,0.0001321537060012371
TCIRG1,16.01392907673001,1.3357336380769742e-17,1.5757672650434382,0.9913770099817459,0.25070302214957657,0.0006192475696664082
CX3CR1_2,15.978776037499207,1.4431207413220523e-17,1.573773180362479,0.9914139219320537,0.4152792767521379,5.052224920621482e-09
PRKCD,15.929734612523037,1.6076813778180338e-17,1.5709850496065003,0.9914653589788224,0.3523684834792988,9.986256183048967e-07
CACNA2D4,15.923773287689482,1.6289373100748987e-17,1.5706456381949832,0.9914716068547273,0.33093504054828826,4.745715909370812e-06
PTAFR,15.728263755718768,2.5086080252858838e-17,1.559454353060935,0.991675944723943,0.3723476535677075,2.0987799893467244e-07
SAMHD1_3,15.691561603173781,2.7210302483670777e-17,1.5573404321887574,0.991714178791463,0.4299181901660219,1.250795996329205e-09
CD4,15.676415233435478,2.813910377006488e-17,1.556466843551316,0.991729945593888,0.5278024370823785,1.6231736815567795e-14
KDM5B_2,15.631879503858295,3.1060024771545026e-17,1.553894080354624,0.9917762655250717,-0.3117492943464939,1.7397102696142426e-05
PTPRCAP,15.556181125640785,3.674593920555299e-17,1.5495070033700606,0.9918548579244948,-0.4512884113238126,1.440684173618082e-10
NDST2_2,15.51006670499396,4.0714469916797635e-17,1.546825718593647,0.9919026487620577,0.17728328474729435,0.016356607968220836
CD93_2,15.503407745506378,4.132228598571571e-17,1.5464379904313288,0.991909544331367,0.4690508392933118,2.125005371669591e-11
ARHGAP4,15.46189454538428,4.5323946278269016e-17,1.5440176913618342,0.9919525012873402,-0.05132456483387256,0.49019211541238217
ADCY9,15.187749135250538,8.364175455586397e-17,1.5278979014184062,0.9922347948312077,0.35600799638844305,7.575380598876522e-07
CCR1,15.075029554341919,1.0773018144414655e-16,1.5212003440554211,0.9923501450815632,0.44775011005174437,2.0821394070673549e-10
HCLS1,15.009317615738768,1.248965176880246e-16,1.517276928198266,0.9924171910803797,0.27730640679298607,0.00014444337150665664
B4GALT6_2,14.99812394060845,1.2808512509356595e-16,1.5166071967486414,0.9924285971669969,-0.5107662702393584,1.5010041252522706e-13
P2RY2,14.967295659533967,1.372987254705098e-16,1.5147605915276587,0.9924599879545758,0.4233904639859736,2.3503206638005945e-09
TK2,14.962888883045592,1.3866941533633339e-16,1.5144963735369446,0.9924644724348288,0.19954654206017328,0.0067647067906817316
NRIP1,14.94890292958385,1.4311190538171148e-16,1.5136573946241003,0.9924787005048066,-0.24506005992008134,0.000827209622013718
SSBP2_2,14.925148919404158,1.509893212835553e-16,1.5122309905239113,0.9925028500216918,-0.43932339752181043,4.921628498419162e-10
WASF1,14.872374617712728,1.7009577923290938e-16,1.5090553252734504,0.9925564318239123,-0.4207216181192236,3.0301025821104645e-09
LOC284837,14.820450280183762,1.912807060496513e-16,1.5059022156040658,0.9926093831406015,0.43847464090406485,5.360126028252601e-10
LYN_2,14.651872889316198,2.8029301751489533e-16,1.4956871424462963,0.9927792240849119,0.19008980213255158,0.009954348358982972
SERPINB8_2,14.583116757294409,3.2770706803832533e-16,1.491485533186407,0.9928483287824788,0.43876517253694125,5.205933983423428e-10
SIRPA_3,14.567437769285368,3.396090103897442e-16,1.4905251804450315,0.992864062432114,0.4153395954283478,5.023929450582945e-09
FGL2,14.514232461810279,3.833523982222277e-16,1.4872601151219849,0.9929173838941115,0.4354122699878087,7.278895393351359e-10
ITGB2,14.470115140641735,4.23916494046115e-16,1.4845454802389584,0.9929615157130061,0.23034254506826868,0.0017071119050425523
HK3,14.426097757917951,4.687158461058828e-16,1.4818303961868555,0.9930054729675276,0.4353709228793146,7.308877517129743e-10
GNA15,14.387126841132414,5.123603417556021e-16,1.4794210683856568,0.9930443279614874,-0.43141755342323196,1.0800337252748744e-09
ITGAL,14.314524044331202,6.049321552581326e-16,1.4749186055801977,0.9931165562284713,0.310690920935383,1.8641783800380014e-05
CD180,14.214661627712626,7.605476026246679e-16,1.468695939508065,0.9932155618594342,0.2950776066380439,5.012420855215461e-05
FGD2,14.1183174597605,9.490089563602127e-16,1.4626596639818195,0.9933106981292014,0.28868750238056395,7.393687841444768e-05
ZNF107_2,14.109614788582132,9.682018063869067e-16,1.4622040450768772,0.9933178429999883,-0.28903130623042494,7.242363959231594e-05
ITM2A,14.106236002056013,9.757586558501281e-16,1.4619004324377214,0.9933226013531966,-0.2906765123021151,6.557598675041752e-05
VDR_3,14.103583936241694,9.817318820890478e-16,1.4617337009472915,0.9933252134901369,0.32349537740526435,7.936890061371047e-06
ITPR2_3,14.020184865530513,1.1896760023221639e-15,1.4564779102664445,0.9934072083994526,-0.2902012011172863,6.748918169253629e-05
IL17RA,13.958332932231485,1.3721967161607965e-15,1.4525641598497172,0.9934678313356186,0.4131288358363751,6.1677561516633976e-09
SLC9A7_2,13.860161084503492,1.7218444361922143e-15,1.4463243111450743,0.993563719559458,-0.38135274139221476,1.0031324861702902e-07
CCND2_3,13.810173452836773,1.9332054389954493e-15,1.4431338360397814,0.9936123854444823,-0.30610789966471635,2.5068194266382015e-05
CCR1_2,13.800021460336469,1.9792362364816027e-15,1.4424847860337282,0.9936222557746703,0.40015785249066,1.9951025560771945e-08
MAP7,13.787211825599666,2.038901218935132e-15,1.4416652951323075,0.993634703611305,-0.2017713316130157,0.0061619248690708865
MYOF,13.76115403181545,2.1659438262878335e-15,1.4399964343313334,0.9936600033185988,0.43213200491823156,1.0068180114721812e-09
ANXA5,13.742654765778655,2.2609640817227227e-15,1.4388101690083266,0.9936779463433935,0.42091034436167873,2.9763702001517213e-09
STS,13.723660004204143,2.3629158656339974e-15,1.4375908426264639,0.9936963543094904,0.34382064644064064,1.8853899340459463e-06
NCF1,13.713544559314755,2.4190921529663754e-15,1.4369409711791874,0.9937061507719103,0.38377943900185535,8.190186101566902e-08
PEX3,13.667465302774131,2.6925723528959643e-15,1.4339758909186437,0.9937507196205094,-0.18995387161277474,0.010008551495785183
TBC1D8,13.609013323840715,3.084940212245278e-15,1.4302035389008851,0.9938071194257405,0.3581300257938282,6.437937618168878e-07
FGD2_5,13.595451187487102,3.18395124955809e-15,1.4293264874989604,0.9938201834897,0.3368370703852649,3.125439632773662e-06
LRRC25,13.550287955982151,3.5374206303250723e-15,1.4268931518991446,0.9938563332650548,0.3250210998097604,7.1502882119575425e-06
ARPC1B,13.544912578538526,3.582050591696938e-15,1.4260522645230103,0.9938687928163313,0.2876357132985473,7.875246612269768e-05
HPGDS,13.510128366690957,3.88493425975707e-15,1.423793261687603,0.9939021816747884,-0.29636109704217956,4.630792941669641e-05
KIAA0125,13.452998253756565,4.4396275750544475e-15,1.420775375562613,0.993946598339857,-0.43579900307445407,7.004162827599986e-10
SIRPB1,13.40332347951486,4.986670594264692e-15,1.416822220688399,0.9940044541664834,0.4072039533528013,1.0609898996344665e-08
LYN,13.377337449161862,5.299487532772482e-15,1.4151282359320922,0.9940291333152654,0.1831542448107694,0.013075109297404564
KIT,13.350708112166078,5.6406412826228314e-15,1.4133826957481805,0.9940544928105363,-0.4243173275865189,2.150725713816213e-09
SIRPB2,13.291717153476892,6.477575947030059e-15,1.4095064187458508,0.9941105516443843,0.3082392494465327,2.185577649794769e-05
MFNG_2,13.257834171333036,7.013943181618337e-15,1.4072740722133639,0.9941426757800782,-0.047213285852939664,0.5256455222007194
AOAH,13.248155544568538,7.17524186314894e-15,1.4066356118351222,0.994151841927535,0.3903696556201297,4.682842755106504e-08
SAMHD1_2,13.242211100038727,7.276161325402945e-15,1.4062433054794599,0.9941574693924141,0.41704500175889214,4.2843127431663865e-09
CD86,13.140432889531617,9.244721786619744e-15,1.3995056674525193,0.9942535561463405,0.3110330620723606,1.8230495399491496e-05
CST3,13.070078411932089,1.0912612337483609e-14,1.394825232131247,0.9943196815553674,0.4379589223657239,5.644781612490752e-10
ALDH3A2,13.00427272658397,1.2747286525856584e-14,1.3904302605111154,0.9943813105546812,0.39337034431932416,3.615673112171605e-08
SERPING1,12.977319246293568,1.3586008865535843e-14,1.388587264244117,0.9944070209747041,-0.16694604292252369,0.023895505670692794
IGF2R_2,12.898644321738425,1.6367193352053307e-14,1.383340739765377,0.994479781975623,0.33139472039541373,4.5952429934391434e-06
FCER1G_2,12.883414096281822,1.6968741984199115e-14,1.3823149570240878,0.9944939337624256,0.4960146957634157,9.343835649381772e-13
VDR_2,12.84388057396999,1.863656742811587e-14,1.379648088957777,0.994530612783119,0.3743619278453925,1.78275556711102e-07
CTSS_2,12.81801084483143,1.9816676953805883e-14,1.3778996566679953,0.9945545712953782,0.22335058893138673,0.002371955193924634
TYROBP,12.815381163486013,1.9940786398356757e-14,1.3777217804067632,0.9945570047745922,0.3880239031896778,5.721875739907899e-08
NOTCH2,12.806187783573176,2.0380878272462106e-14,1.377099711290917,0.9945655094329692,0.20324197440408767,0.005790271999956968
SRGAP2_3,12.80331778693219,2.0520266424332225e-14,1.3769054454612777,0.9945681635320687,0.44717467995960947,2.2097736851297477e-10
SOX4_2,12.795537759502322,2.0902985348428518e-14,1.3763786645565654,0.9945753561645678,-0.4838384739808899,3.9622479826250935e-12
ANGPT1_3,12.764109216423906,2.252388143997641e-14,1.3742482396505018,0.9946043799898245,-0.373423878522343,1.9237922259564343e-07
STAM,12.750201754875626,2.3281124156949184e-14,1.3733042653480825,0.9946172069944157,-0.31796074730155555,1.1535276123341335e-05
TRAF5_2,12.73333620910779,2.423403193953225e-14,1.3721584883581397,0.9946327487739328,-0.4487076236061821,1.8854215395070277e-10
CARD16,12.714259153074252,2.535948732945406e-14,1.3708611186911044,0.994650310602117,0.304627165788652,2.755680490593627e-05
TNFAIP2_2,12.655548281908871,2.916564016938515e-14,1.3668593525785369,0.9947042385549513,0.24991015045101742,0.0006452177597995174
